Kingdom,Phylum,Class,Order,Family,Genus,sample1,sample26,sample25,sample2,sample24,sample6,sample27,sample5,sample4,sample23,sample3,sample22,sample10,sample7,sample20,sample8,sample9,sample11,sample19,sample18,sample15,sample14,sample21,sample13,sample16,sample12,sample17
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,LWQ8,Genus of LWQ8,0.20434064789648243,1.1359924506035908,1.2451184316545865,0.6636694208825968,1.2943584654983855,0.5216915071333297,1.8625387148164645,0.40842145176935674,0.12463263155152227,0.7951968802845002,0.13430605184541378,1.3705166892624412,2.575971403384263,0.6485389613931529,2.070559813723719,1.0566354666223479,1.6693931771411563,2.3212700216329827,1.8373498074829548,1.946031510266086,2.502143687308929,2.21287037589326,1.4421355569020822,2.0044813053898247,1.8064476733237615,1.894826321074678,1.6862531228094388
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,-0.496913744002871,1.2420432286984786,1.3356324391954182,2.545611241952911,1.5488984689193037,1.3154093114510719,2.0833114543091202,2.3352916528937024,-2.421433643839248,1.929110310658083,0.8940999052769429,1.2378770598340392,0.8428466259929817,0.1549688941027929,1.2206013879290936,-3.6741864935220603,1.418532275774525,1.2130113264079379,1.2917493305343424,0.8623398468233399,0.8976607022927015,-0.040093274002708235,0.9938474493431881,1.4426227303037722,1.064018744263591,1.5523955592344159,0.802952629019364
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Thermomonas,0.6124936193054911,1.3379178145000186,1.784991740860808,0.7848672564954899,1.9704750272586429,0.6762287293438254,1.75270505379408,0.2966745974319247,0.06889538594930311,2.001764605603473,0.3524948573898339,2.1745027983756673,1.0718054173756348,0.741472870972899,2.4936163085841088,0.5130357329088255,0.9944748292630612,1.0961672978185488,1.9373096819941908,1.9418350221524685,1.7198865550443925,1.5681802106238631,2.1910385892663458,1.3853984783725304,1.7301130098574484,1.2086489037641455,1.8570224468817207
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Thauera,-2.9579354608323936,0.2092901955899924,0.6985747252865169,-3.2113683774357185,1.1235560112209937,-0.055779771542383116,0.254951794000168,-0.05369792640722704,0.06889538594930311,1.539076636484877,0.01960731189556686,1.4876055811071893,1.9607129647200612,0.08414543203518043,1.832223989130573,0.3909870921217067,0.49010824494316996,1.8157251067219118,2.0723578683805375,2.1933411557374427,2.3520292073975737,2.4739293476633497,1.6973867592128764,2.4804319915432638,2.2526632241799645,2.3267354859180847,2.491989259841195
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Genus of Verrucomicrobiaceae,-1.4379280925341007,0.7601939026454394,0.8808962820804709,-0.23454025450472393,0.12820521706350352,1.1176110573722005,0.7936610276736182,2.4094456887712017,-0.22942877059784728,0.6320227048874214,1.7879992944908425,-0.7928538648063972,-3.625708682434646,-1.698294207550358,-0.6878420234251932,0.6217956802331619,1.7407426382862887,0.30793090045899785,0.19035496006612185,-0.10222609290544238,-1.2165297092576015,0.3669790323839255,-2.0409042420361567,-1.4669589442568665,-1.5461604921782923,-0.2074107395645246,-1.9250829764852595
Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,Genus of Geminicoccaceae,0.09808256993541953,1.8436738331062816,1.9744452687920342,0.9717238161457624,1.8872516535267927,1.414259193409812,1.4301285746022216,1.5359954262177196,1.6576710084007091,2.0788079150093113,1.35337519621433,2.0721507557585532,2.3604846387835448,1.8620163825231932,2.0563214636469995,2.012584579194387,2.3833786466002547,2.0748133365228476,2.0281793575107105,1.7727104280427293,2.0660318078496305,2.2233744560179236,2.2338611041035312,2.014995953170293,2.021280033660429,2.105370342929537,1.8802970768714058
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,2.309417311670484,2.377643437938902,2.019117708843627,1.657216135529537,1.9518751762601303,1.0704716724781704,2.158602400515832,1.3167652768387468,1.2251957878130089,1.5703834589692969,1.1199966745195553,1.7206384439503175,0.7581058924606383,0.36028420932769034,1.6614408780161831,0.2730310239378415,0.42226439605708865,0.4114317372203109,0.8523669328767562,1.2478247126407087,0.6293925017672848,0.22338394126094396,1.7408034326301234,0.36017983281983756,0.8474848191118074,0.23255283396406412,0.44048440219371354
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Candidatus_Accumulibacter,-2.9579354608323936,2.3711579694283698,1.3452018902115688,-3.2113683774357185,0.5101857962408491,-0.17416566183300297,2.1191536860276496,0.2038218520744115,-0.6565239562405436,1.4299795763954197,0.8150200313361369,1.5543840995009992,-0.6961900058484014,0.4987301653356413,1.3736455918152508,0.7331369778361596,-0.12451505067056967,1.0961672978185488,1.3550132759496583,1.0430204298745167,0.9921274030457496,1.20893215919122,1.4767753775152768,1.5083891507238025,1.064018744263591,1.2624001703863597,1.1352235946444562
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Tetrasphaera,1.8202173360783966,2.3313362367723895,1.5740434626404163,2.0537187905666183,1.5674525197727407,2.0597838091128002,1.7599346326314196,2.042248755523695,1.853658009345449,1.3659009164008307,1.7510386488543208,1.2199881991188928,1.7104689396542057,1.8283823223442717,1.276869968609649,1.8920154766876607,1.9285414029421917,2.1932785328712434,1.2006452476054505,1.6842468737336596,1.0144127224517776,1.0363719123580744,1.1047309100166292,1.2222853095499326,1.5324659025385756,1.5354709437065939,1.2987883233723752
Bacteria,Proteobacteria,Gammaproteobacteria,PLTA13,Family of PLTA13,Genus of PLTA13,1.2743275892828336,1.0902088618159347,1.0606893925210672,0.6636694208825968,0.9520538443109521,1.3154093114510719,0.45961854258546886,1.3167652768387468,1.0693783411882851,1.356402194486865,1.3125239109913363,1.5013228033812416,2.0124828923692135,1.81979402822573,1.6772776775959475,1.270346358606191,1.493419951436703,2.0607405902327907,2.048812218761851,2.041800388376182,2.3196971163203504,2.241495212536405,1.6555646172864673,2.1756903491010684,2.240316145672235,1.8987904769815707,2.0028390535579197
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,unidentified_Saprospiraceae,1.7034851883477922,-3.0328175275126767,-0.08988263507775329,1.973571967269474,-0.2430359001504696,1.5425677332241747,-1.1164085504657022,1.9560964360472992,0.9097537564170572,0.4605838828015987,1.4154528699433397,0.4000421845669164,0.40885647541550707,1.3834008623108938,0.5987433091163972,1.5562462837196502,0.8528682403655719,0.6699225057148412,0.8410428824833946,1.3667343220395587,1.3641803855212116,1.6685951579699694,0.0943612443212194,2.311513043860696,1.453805956690176,1.2918658788078163,1.7537541954573044
Bacteria,Chloroflexi,KD4-96,Order of KD4-96,Family of KD4-96,Genus of KD4-96,0.5784069295113872,0.36592965954656265,0.8343762664455783,0.36567242092512053,0.08866853941731279,0.7453761759575688,0.7550620273123467,1.1425792099571463,1.2692977803000876,0.7078480059965173,0.9906624875494323,0.7579187582477998,-2.111961803101061,0.3786750084826922,0.8789433227763572,1.6394310902531206,1.7024570678389148,1.7007157820248882,1.073687898529637,1.2308456324704924,1.0680455137177427,2.2668253400978697,1.00754899928301,1.4364238084123828,1.1900100141907197,2.2710567019941763,1.462880336269885
Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Family of Gaiellales,Genus of Gaiellales,1.9944267947068113,2.253937108338869,2.089404241571798,1.7396008490614188,1.97659888519014,1.955853319723727,2.2011980263872033,1.8367886358565997,2.110949175241256,1.9398183057131533,1.4079006593338255,1.9407090814551209,0.8562973489445822,1.6911035730607136,2.1617048614330727,1.037390291678296,0.7231027295955323,1.1084855272303855,1.833135878404267,2.0225908115199536,1.3795950803090316,0.22338394126094396,1.4377199766736979,1.2893151179129418,1.219174917655863,1.4082276960344986,1.6336856500787844
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Lewinella,-0.3118824738777555,0.8827032144640201,0.02344605022924995,1.2929007521460694,0.3682901433493715,1.7461482431700182,0.28688171615279234,2.1861524225959865,1.7525065930355508,0.38787412588036485,1.7126593103969263,-0.23723327222537893,0.2506798841768303,1.460422915430292,-0.7452097872730468,0.18587805260727297,-0.8701070095087813,-0.4800405130893317,-0.7544364617535688,-0.9052785895570628,-0.6753513310124211,-0.6418862022109568,-0.19915323866259715,-1.0178184824572423,-0.7226818364681398,-0.24045975373309592,-0.513654309517297
