OTU_ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27
ASV2354	0.000181004	0	0	9.05018E-05	0	0	0	0	0	0	0.000135753	9.05018E-05	0	4.52509E-05	4.52509E-05	9.05018E-05	0.000181004	4.52509E-05	0	0	0.000181004	4.52509E-05	0	0	0	0	0.000135753
ASV2536	0.000181004	0.000316756	0	0.000271505	0	4.52509E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000181004	0	0	9.05018E-05	0	0	0	0	0
ASV2623	0.000181004	9.05018E-05	0	0	0	0	0	0	0	0	0	0	4.52509E-05	0	0	0	0.000226255	0	0	0	0.000181004	0	9.05018E-05	0	0	0	0
ASV2822	0.000181004	0	0	0	0	0	0	0	0	0	0	0.000316756	0	0	0	0	9.05018E-05	0	0.000226255	0	0	0	0	0	0	0	0
ASV2865	0.000181004	0.000633513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV3311	0.000181004	0	0	0	0	0	0.000135753	9.05018E-05	0	0	0	0	4.52509E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV3646	0.000181004	0.000226255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV3712	0.000181004	0	0	9.05018E-05	0	0	4.52509E-05	0	0	0.000135753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV3713	0.000181004	0	0.000226255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV3776	0.000181004	0	0	0	0	0	0	0	4.52509E-05	0	0	0	0	0.000135753	0	0	0	0	0	0	0	0	0	4.52509E-05	4.52509E-05	4.52509E-05	0
ASV3895	0.000181004	0.000135753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV4498	0.000181004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV4499	0.000181004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV4512	0.000181004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV4526	0.000181004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV5218	0.000181004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV5552	0.000181004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV6870	0.000181004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV81	0.000226255	0.003077062	0.00393683	0.005792117	0.003122313	0.004344088	0.004751346	0.003710575	0.004977601	0.00543011	0.010045703	0.006154125	0.006380379	0.007104394	0.005701615	0.003529571	0.003891579	0.004796597	0.005294357	0.005701615	0.005294357	0.004841848	0.004751346	0.002760306	0.002579302	0.004570343	0.003077062
ASV249	0.000226255	0.000452509	0.000905018	0.00199104	0.000588262	0.001312277	0.001855288	0.00149328	0.001402778	0.002850808	0.001810037	0.003122313	0.002715055	0.002715055	0.003122313	0.002579302	0.002669804	0.002760306	0.001764786	0.001402778	0.002036291	0.001538531	0.001674284	0.000814516	0.00049776	0.00049776	0.000362007
ASV267	0.000226255	0.00049776	0.00099552	0	0.001357527	0.000859767	0	0.000724015	0.001131273	0.000588262	0.000724015	0	0.000678764	0	0.000633513	0.000316756	0.00049776	0.00099552	0	0	0	0.000588262	0	0.000950269	0.000407258	0.000588262	0.000316756
ASV281	0.000226255	0.000588262	0.000814516	0.001357527	0.000769266	0.000905018	0.000769266	0.000452509	0.000135753	0.000362007	0.000407258	0.000588262	0.000407258	0.000316756	0	0.000316756	0.000316756	0.000362007	0.00049776	0.00049776	0.000905018	0.000814516	0.000814516	0.000678764	0.000633513	0.000769266	0.001131273
ASV344	0.000226255	0	0	0	0	0	0	0.000271505	0	0	0.000181004	0.000226255	0	0	0.000362007	0.000633513	0.000543011	0.000769266	0.000724015	0.000588262	0.00049776	0.000316756	0.000452509	0.00049776	0.000588262	0.000633513	0.000452509
ASV365	0.000226255	0.001583782	0.003258066	0	0.00294131	0.001764786	0	0.000543011	0.000543011	0	0	0.000181004	0.000452509	0.000316756	0.00049776	0.000588262	0.000633513	0.001131273	0.000859767	0.000859767	0	0.000724015	0.001583782	0.00149328	0.001176524	0.001402778	0.004253586
ASV378	0.000226255	0.000135753	4.52509E-05	9.05018E-05	0	0	0.000678764	0.002172044	0.003031811	0.002624553	0.001402778	0.001221775	0.001538531	0.003122313	0.002624553	0.002126793	0.001357527	0.001357527	0.00049776	0.00049776	0.00049776	0.000407258	0.000135753	0	9.05018E-05	0	0.000135753
ASV421	0.000226255	0.000950269	0.000452509	0.000633513	0.00099552	0.000588262	0.000724015	0.001040771	0.000226255	0.000181004	0	0.001312277	0.002217295	0.001221775	0.001131273	0.001855288	0.001040771	0.00049776	0.000859767	0.000316756	0.000678764	0.000452509	0.000724015	0.000950269	0.001131273	0.001131273	0.000633513
ASV441	0.000226255	0.000814516	0.001855288	0	0.001719535	0.001583782	0.000226255	0.001086022	0.001176524	0.00049776	0.001131273	0.000814516	0.000543011	0.000135753	0.000362007	0.000362007	0.00049776	0.000859767	0.000452509	0.000407258	0	0.000271505	0.000407258	0.000362007	0.000543011	0.000271505	0.000633513
ASV521	0.000226255	0.000316756	0.000724015	0.000633513	0	0.00049776	0.000316756	0.000271505	0.000271505	0.000181004	0	0.000362007	0.000271505	0.000226255	0.000316756	0.000543011	0.000452509	0.000271505	0.000588262	0.000769266	0.00099552	0.000769266	0.000633513	0.000859767	0.000633513	0.000724015	0.000859767
ASV559	0.000226255	0	0.000678764	0.000271505	0.000316756	0.000226255	0.000226255	0	0.000407258	0.000362007	0.000543011	0.000452509	0.000271505	0.000362007	0.000362007	0.000769266	0.000407258	0.00049776	0.000724015	0.000905018	0.001131273	0.000814516	0	0.000362007	0	0	0.000543011
ASV580	0.000226255	0	0	0	0	0	0	0	0.000181004	0	0	0	0	0	0	0.000181004	0.000226255	0.000271505	0.000271505	0.000226255	0.000271505	0	0	0	0	0	0
ASV600	0.000226255	0.000181004	0.000905018	0.000814516	0	0.000814516	0.000678764	0.000452509	0.000724015	0.000362007	0.000543011	0.000452509	0.000407258	0	0.000633513	0.000181004	0	0.000271505	0	0.000633513	0.000814516	0.001221775	0.000769266	0.000543011	0.000316756	0	0.00099552
ASV674	0.000226255	0.000226255	0.000362007	0.000633513	0.000181004	0.000316756	0.001221775	0.000633513	0.000814516	0.000814516	0.00099552	0.000905018	0.000362007	0.001086022	0.000452509	0.000814516	0.00049776	0.000633513	0.000226255	0.000135753	0.000407258	0.000271505	0	0	0.000362007	0	0.000316756
ASV743	0.000226255	0.000271505	0.000271505	0.000362007	0.000452509	0.000271505	0.000452509	0.000452509	0.000588262	0.00049776	0.000678764	0.000678764	0.000407258	0.000588262	0.000362007	0.000452509	0.00049776	0.000226255	0.000316756	0.000452509	0.000407258	0.00049776	0.000181004	0.000316756	0.000181004	0.000271505	0.000135753
ASV815	0.000226255	0	0.000316756	4.52509E-05	0.000181004	0	0.000181004	0.000135753	0	0	0	0	0.000181004	0	0.000181004	0.000543011	0.000814516	0.001719535	0.000859767	0.000452509	0.000135753	0.000181004	0	0	0.000135753	0.000316756	0.000135753
ASV837	0.000226255	0	0.000181004	0.000316756	0.000181004	0.000181004	0.000316756	0.000452509	0.000588262	0.000226255	0	0.000452509	0.000678764	0.000452509	0.000362007	0.000452509	0.000452509	0.00049776	0.000452509	0.000407258	0.000135753	0.000226255	0	0	0	0	0
ASV901	0.000226255	0.000407258	0.000316756	0.000362007	0.000226255	0.000271505	0.000181004	4.52509E-05	4.52509E-05	0.000135753	4.52509E-05	4.52509E-05	0	0.000271505	0.000316756	0.000362007	0.000226255	0.000678764	0.001176524	0.001357527	0.000724015	0.000633513	0.000181004	4.52509E-05	9.05018E-05	0	0.000271505
ASV961	0.000226255	0.000271505	0	0.000271505	0.000407258	0	0.000362007	0.00049776	0.000543011	0.000724015	0.000814516	0.000678764	0.000543011	0.000678764	0.000633513	0	0.000724015	0.000407258	0	0	0	9.05018E-05	0	4.52509E-05	0	0	0
